3.000 1.000 4.000 0.800 4.500 4.577902729180387
4.000 1.000 4.000 0.800 4.500 4.690474131928703
3.000 2.000 4.000 0.800 4.500 3.4979272874097704
3.000 2.000 5.000 0.800 4.500 3.7608709619322043
3.000 2.000 4.000 1.800 4.500 1.5384837312455848
3.000 2.000 4.000 1.800 5.500 3.389368065126221
2.961 2.370 3.910 2.472 3.866 6.203831501204808
2.981 2.185 3.955 2.136 4.183 2.4467793991127094
2.750 2.000 4.000 1.800 4.515 3.300877975134963
3.398 2.058 3.986 1.906 4.778 3.2223542870077404
3.000 1.941 3.757 1.800 4.500 2.8581549304781873
3.112 1.594 4.194 1.834 4.315 4.257652943507371
3.123 2.244 4.044 1.436 4.298 4.107230873675615
2.816 2.056 4.085 1.843 4.629 3.8684792912747987
3.030 2.062 4.012 1.709 4.450 4.169633299409291
3.035 2.035 3.992 1.815 4.535 3.9274864655140327
2.990 1.891 4.039 1.819 4.458 3.7769179013327965
2.995 1.979 4.005 1.761 4.543 3.671413122782366
2.887 2.042 3.996 1.830 4.484 2.645558067975055
3.000 1.987 3.940 1.796 4.487 4.169455624884153
3.006 1.974 4.041 1.825 4.471 3.926708791070064
2.973 2.015 4.003 1.805 4.501 3.9629465628069935
3.009 2.013 4.005 1.779 4.484 2.935416004944872
3.002 1.993 3.987 1.802 4.496 2.7469792552680232
3.003 2.005 3.999 1.805 4.499 3.1220304254512166
3.001 1.993 4.005 1.793 4.511 3.3075421008822214
2.998 1.995 4.004 1.800 4.496 3.5734926512330967
3.010 2.008 4.000 1.808 4.504 1.8889981136265546
2.995 2.005 3.997 1.800 4.502 3.9951998905876347
3.004 2.003 4.000 1.794 4.497 3.661240154344335
3.002 2.000 4.001 1.803 4.501 3.3729519294312706
3.000 2.000 4.001 1.799 4.501 3.196357479989282
3.000 1.998 3.997 1.799 4.501 3.8983992314252847
2.999 2.001 3.999 1.801 4.499 3.7297514464590966
3.001 2.001 4.000 1.800 4.500 4.360272060458842
3.000 1.999 4.001 1.800 4.499 4.4037113347631465
3.000 2.000 4.000 1.801 4.500 3.98034253864828
3.000 1.999 4.000 1.800 4.500 3.7909435497678814
3.000 2.000 4.000 1.800 4.500 3.7270920752611962
3.000 2.000 4.000 1.800 4.500 3.7325361678951876
3.000 2.000 4.000 1.800 4.500 4.055225229833613
3.000 2.000 4.000 1.800 4.500 4.111649965924608
3.000 2.000 4.000 1.800 4.500 4.069623597083883
3.000 2.000 4.000 1.800 4.500 4.3535445329438005
3.000 2.000 4.000 1.800 4.500 3.925310156194766
3.000 2.000 4.000 1.800 4.500 2.551094506558903
3.000 2.000 4.000 1.800 4.500 3.473091205423983
3.000 2.000 4.000 1.800 4.500 2.791833494761603
3.000 2.000 4.000 1.800 4.500 3.4878345240461046
